  98.0000   29.0000    5.0000    3.4420    0.0000    0.0000    0.0000    0.0000
  98.0000   28.5000    5.0000    3.4415    0.0000    0.0000    0.0000    0.0000
  98.0000   28.0000    5.0000    3.4420    0.0000    0.0000    0.0000    0.0000
  98.0000   27.5000    5.0000    3.4550    0.0000    0.0000    0.0000    0.0000
  98.0000   27.0000    5.0000    3.4580    0.0000    0.0000    0.0000    0.0000
  98.0000   26.5000    5.0000    3.4420   98.6532    0.0000   -0.0002   -0.0001
  98.0000   26.0000    5.0000    3.4060   98.5783    0.0000   -0.0026   -0.0008
  98.0000   25.5000    5.0000    3.3625   98.6455    0.0001   -0.0117   -0.0036
  98.0000   25.0000    5.0000    3.3285   98.3263    0.0002   -0.0319   -0.0095
  98.0000   24.5000    5.0000    3.3110   85.4867    0.0003   -0.0580    0.0092
  98.0000   24.0000    5.0000    3.2950   62.8023    0.0024   -0.2789    0.3894
  98.0000   23.5000    5.0000    3.3510   37.6368    0.0000    0.0002    0.0009
  98.0000   23.0000    5.0000    3.3750    0.0000    0.0000    0.0000    0.0000
  98.0000   22.5000    5.0000    3.3760    0.0000    0.0000    0.0000    0.0000
  98.0000   22.0000    5.0000    3.3840    0.0000    0.0000    0.0000    0.0000
  98.0000   21.5000    5.0000    3.3390    0.0000    0.0000    0.0000    0.0000
  98.0000   21.0000    5.0000    3.2880    0.0000    0.0000    0.0000    0.0000
  98.0000   20.5000    5.0000    3.2770    0.0000    0.0000    0.0000    0.0000
  98.5000   29.0000    5.0000    3.4595    0.0000    0.0000    0.0000    0.0000
  98.5000   28.5000    5.0000    3.4615   26.1885    0.0000    0.0051    0.0066
  98.5000   28.0000    5.0000    3.4665   27.1223    0.0003    0.0304    0.0422
  98.5000   27.5000    5.0000    3.4900   64.4343    0.0009   -0.1144    0.1419
  98.5000   27.0000    5.0000    3.4985   86.9499    0.0008   -0.1587    0.0170
  98.5000   26.5000    5.0000    3.4620   96.5833    0.0006   -0.1185   -0.0277
  98.5000   26.0000    5.0000    3.3995  130.8727    0.0003   -0.0078   -0.0538
  98.5000   25.5000    5.0000    3.3595    1.4295    0.0009    0.1766    0.0088
  98.5000   25.0000    5.0000    3.3210  179.3384    0.0006    0.1236   -0.0029
  98.5000   24.5000    5.0000    3.2580   57.6085    0.0016   -0.1385    0.2941
  98.5000   24.0000    5.0000    3.2220   72.7750    0.0060   -0.9964    0.6835
  98.5000   23.5000    5.0000    3.2910   44.1358    0.0017    0.0100    0.3305
  98.5000   23.0000    5.0000    3.3340   30.8543    0.0001    0.0139    0.0257
  98.5000   22.5000    5.0000    3.3435  154.1248    0.0001    0.0110   -0.0140
  98.5000   22.0000    5.0000    3.3630  140.2536    0.0001    0.0027   -0.0145
  98.5000   21.5000    5.0000    3.3320  134.4902    0.0000   -0.0001   -0.0080
  98.5000   21.0000    5.0000    3.2880  131.7283    0.0000   -0.0004   -0.0035
  98.5000   20.5000    5.0000    3.2770  131.0655    0.0000   -0.0001   -0.0009
  99.0000   29.0000    5.0000    3.4555    0.0000    0.0000    0.0000    0.0000
  99.0000   28.5000    5.0000    3.4610   12.9936    0.0001    0.0153    0.0074
  99.0000   28.0000    5.0000    3.4315    2.6483    0.0013    0.2621    0.0243
  99.0000   27.5000    5.0000    3.3915   37.4213    0.0055    0.2878    1.0624
  99.0000   27.0000    5.0000    3.4825   48.9456    0.0014   -0.0391    0.2824
  99.0000   26.5000    5.0000    3.4515    7.7559    0.0006    0.1115    0.0309
  99.0000   26.0000    5.0000    3.3125  139.8194    0.0044    0.1465   -0.8628
  99.0000   25.5000    5.0000    3.3705  165.2851    0.0066    1.1580   -0.6533
  99.0000   25.0000    5.0000    3.3575   13.6124    0.0048    0.8460    0.4352
  99.0000   24.5000    5.0000    3.2535  167.9608    0.0046    0.8459   -0.3780
  99.0000   24.0000    5.0000    3.2570  105.2044    0.0044   -0.7508   -0.4407
  99.0000   23.5000    5.0000    3.3180   29.8628    0.0025    0.2530    0.4334
  99.0000   23.0000    5.0000    3.3265    0.1749    0.0013    0.2661    0.0016
  99.0000   22.5000    5.0000    3.3260  153.0863    0.0005    0.0584   -0.0798
  99.0000   22.0000    5.0000    3.3300  139.0318    0.0002    0.0063   -0.0442
  99.0000   21.5000    5.0000    3.3130  132.7958    0.0001   -0.0014   -0.0180
  99.0000   21.0000    5.0000    3.2850  129.8161    0.0000   -0.0012   -0.0066
  99.0000   20.5000    5.0000    3.2770  128.7176    0.0000   -0.0004   -0.0016
  99.5000   29.0000    5.0000    3.4505    0.0000    0.0000    0.0000    0.0000
  99.5000   28.5000    5.0000    3.4315    4.7749    0.0001    0.0224    0.0038
  99.5000   28.0000    5.0000    3.3995    0.8403    0.0018    0.3531    0.0104
  99.5000   27.5000    5.0000    3.4000   22.6829    0.0021    0.2996    0.3035
  99.5000   27.0000    5.0000    3.4110   61.3556    0.0033   -0.3532    0.5500
  99.5000   26.5000    5.0000    3.3660  113.5585    0.0037   -0.5096   -0.5487
  99.5000   26.0000    5.0000    3.1895  118.0185    0.0027   -0.2962   -0.4397
  99.5000   25.5000    5.0000    3.2580  176.2265    0.0085    1.6794   -0.2225
  99.5000   25.0000    5.0000    3.2400  176.3111    0.0090    1.7861   -0.2313
  99.5000   24.5000    5.0000    3.2425   62.4467    0.0019   -0.2197    0.3150
  99.5000   24.0000    5.0000    3.2185  102.7927    0.0032   -0.5862   -0.2807
  99.5000   23.5000    5.0000    3.3655   49.5035    0.0071   -0.2229    1.4062
  99.5000   23.0000    5.0000    3.3175    4.5475    0.0042    0.8309    0.1330
